,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.780351459980011,0.5583726167678833,0.8048261404037476,0.754792332649231,0.857798159122467,0.34202197194099426,0.8857142925262451,0.853210985660553
1,0.9587326645851135,0.11662913113832474,0.9640026688575745,0.9554046988487244,0.8761467933654785,0.310221791267395,0.8796296119689941,0.8715596199035645
2,0.9813631772994995,0.05741163343191147,0.9830259084701538,0.9791001081466675,0.853210985660553,0.3868406414985657,0.8564814925193787,0.8486238718032837
3,0.9906815886497498,0.03199296444654465,0.9912046790122986,0.9901490807533264,0.8899082541465759,0.3273909389972687,0.8894008994102478,0.8853210806846619
4,0.9934771060943604,0.022686820477247238,0.9941341280937195,0.9926784038543701,0.9082568883895874,0.28904229402542114,0.9078341126441956,0.9036697149276733
5,0.9973375797271729,0.012218455784022808,0.9973368644714355,0.9970713257789612,0.8990825414657593,0.33125072717666626,0.9027777910232544,0.89449542760849
6,0.9982694387435913,0.008596847765147686,0.9982694387435913,0.9982694387435913,0.9036697149276733,0.3430820405483246,0.9032257795333862,0.8990825414657593
7,0.997736930847168,0.007890368811786175,0.9980026483535767,0.997736930847168,0.8853210806846619,0.4438247084617615,0.8935185074806213,0.8853210806846619
8,0.9990681409835815,0.0053980243392288685,0.999068021774292,0.9989350438117981,0.89449542760849,0.3962459862232208,0.89449542760849,0.89449542760849
9,0.9989350438117981,0.005241686012595892,0.9989350438117981,0.9989350438117981,0.9036697149276733,0.38072508573532104,0.9036697149276733,0.9036697149276733
10,0.9993343949317932,0.003667049575597048,0.9993343949317932,0.9993343949317932,0.9174311757087708,0.30919206142425537,0.921658992767334,0.9174311757087708
11,0.9997337460517883,0.0028773085214197636,0.9997337460517883,0.9997337460517883,0.9220183491706848,0.299135684967041,0.9220183491706848,0.9220183491706848
12,0.9997337460517883,0.0027058676350861788,0.9997337460517883,0.9997337460517883,0.9220183491706848,0.262398898601532,0.9220183491706848,0.9220183491706848
13,0.9993343949317932,0.002611317206174135,0.9993343949317932,0.9993343949317932,0.9357798099517822,0.20708587765693665,0.9357798099517822,0.9357798099517822
14,0.9997337460517883,0.002107736188918352,0.9997337460517883,0.9997337460517883,0.9495412707328796,0.19522906839847565,0.9495412707328796,0.9495412707328796
15,0.9997337460517883,0.002188825746998191,0.9997337460517883,0.9997337460517883,0.9495412707328796,0.18141891062259674,0.9495412707328796,0.9495412707328796
16,0.9997337460517883,0.0017085985746234655,0.9997337460517883,0.9997337460517883,0.9587156176567078,0.1356627643108368,0.9587156176567078,0.9587156176567078
17,0.9996006488800049,0.001756733050569892,0.9996006488800049,0.9996006488800049,0.9587156176567078,0.1529279202222824,0.9587156176567078,0.9587156176567078
18,0.9993343949317932,0.0020744933281093836,0.9993343949317932,0.9993343949317932,0.9587156176567078,0.13131926953792572,0.9587156176567078,0.9587156176567078
19,1.0,0.0006623303634114563,1.0,1.0,0.9587156176567078,0.1210315078496933,0.9587156176567078,0.9587156176567078
20,0.9997337460517883,0.0010546097764745355,0.9997337460517883,0.9997337460517883,0.963302731513977,0.09619929641485214,0.9677419066429138,0.963302731513977
21,1.0,0.000844781578052789,1.0,1.0,0.9678899049758911,0.08915318548679352,0.9678899049758911,0.9678899049758911
22,0.9994674921035767,0.0015844834269955754,0.9994674921035767,0.9994674921035767,0.963302731513977,0.08087801933288574,0.963302731513977,0.963302731513977
23,0.9997337460517883,0.0009306560968980193,0.9997337460517883,0.9997337460517883,0.9724770784378052,0.055450439453125,0.9724770784378052,0.9724770784378052
