,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.3521032929420471,1.34725821018219,0.3581288456916809,0.24866878986358643,0.40366971492767334,1.0241199731826782,0.4886363744735718,0.39449542760849
1,0.43663471937179565,1.1497728824615479,0.4726388454437256,0.3104366362094879,0.41743120551109314,0.9619882702827454,0.6013985872268677,0.39449542760849
2,0.5331469774246216,0.9714402556419373,0.5916271805763245,0.39882853627204895,0.4357798099517822,0.9278907179832458,0.5844155550003052,0.4128440320491791
3,0.6339190602302551,0.8170201182365417,0.6978417038917542,0.5165069103240967,0.4678899049758911,0.9056509733200073,0.5142857432365417,0.4128440320491791
4,0.7251064777374268,0.6763013005256653,0.7850265502929688,0.6295260787010193,0.4678899049758911,0.9059215188026428,0.48404255509376526,0.41743120551109314
5,0.7921991348266602,0.5536686182022095,0.8448329567909241,0.720447301864624,0.4678899049758911,0.9396483302116394,0.46700507402420044,0.4220183491706848
6,0.8379925489425659,0.46338900923728943,0.8782287836074829,0.7920660376548767,0.47706422209739685,0.9535300135612488,0.48275861144065857,0.44954127073287964
7,0.8730031847953796,0.38542601466178894,0.8985673189163208,0.8349307775497437,0.4954128563404083,0.9666189551353455,0.5073891878128052,0.4724770784378052
8,0.8936368227005005,0.33151641488075256,0.9116122722625732,0.8663471937179565,0.5412843823432922,0.955527126789093,0.5265700221061707,0.5
9,0.9065495133399963,0.2954312562942505,0.9228841662406921,0.8825878500938416,0.5504587292671204,0.9583705067634583,0.557692289352417,0.5321100950241089
10,0.9197284579277039,0.2575520873069763,0.9323916435241699,0.9050852060317993,0.5963302850723267,0.9282128810882568,0.5924170613288879,0.5733944773674011
11,0.9295793175697327,0.23472841084003448,0.9394022226333618,0.9162673354148865,0.6146789193153381,0.9164270758628845,0.6214953064918518,0.6100917458534241
12,0.9347710609436035,0.21735434234142303,0.9447619318962097,0.9243876338005066,0.6559633016586304,0.8228048086166382,0.65887850522995,0.646789014339447
13,0.9403620958328247,0.19158658385276794,0.9484089612960815,0.932374894618988,0.6926605701446533,0.7292696833610535,0.7028301954269409,0.6834862232208252
14,0.9452875256538391,0.18388475477695465,0.9508506655693054,0.9374334216117859,0.7568807601928711,0.6425597667694092,0.7581395506858826,0.747706413269043
15,0.9475505948066711,0.1709512323141098,0.9531840085983276,0.9404951930046082,0.7844036817550659,0.56104576587677,0.7906976938247681,0.7798165082931519
16,0.9535409808158875,0.15717360377311707,0.9587878584861755,0.9476836919784546,0.8073394298553467,0.49787282943725586,0.8093023300170898,0.7981651425361633
17,0.9536741375923157,0.15198323130607605,0.958928108215332,0.9479499459266663,0.8440366983413696,0.41000068187713623,0.8440366983413696,0.8440366983413696
18,0.9576677083969116,0.140563502907753,0.9615952968597412,0.9532747864723206,0.8715596199035645,0.32342517375946045,0.8703703880310059,0.8623853325843811
19,0.9591320753097534,0.1369728147983551,0.9631571769714355,0.9535409808158875,0.8853210806846619,0.3003804683685303,0.8894008994102478,0.8853210806846619
20,0.9609957337379456,0.1302666962146759,0.9638926386833191,0.9559371471405029,0.89449542760849,0.26338931918144226,0.89449542760849,0.89449542760849
21,0.9624600410461426,0.12189442664384842,0.965656042098999,0.958200216293335,0.9128440618515015,0.21446485817432404,0.9124423861503601,0.9082568883895874
22,0.9615282416343689,0.12362722307443619,0.9651427865028381,0.9583333134651184,0.9311926364898682,0.16657739877700806,0.9354838728904724,0.9311926364898682
23,0.9665867686271667,0.11063477396965027,0.9712867140769958,0.9636581540107727,0.9357798099517822,0.1561596691608429,0.9398148059844971,0.9311926364898682
24,0.9677848815917969,0.1058344841003418,0.970647394657135,0.9640575051307678,0.9495412707328796,0.12330092489719391,0.9537037014961243,0.9449541568756104
25,0.9709797501564026,0.09728829562664032,0.9742661714553833,0.9676517844200134,0.9587156176567078,0.12175089865922928,0.9629629850387573,0.9541284441947937
26,0.9716453552246094,0.09957119077444077,0.974434494972229,0.9691160917282104,0.9678899049758911,0.10454351454973221,0.9723502397537231,0.9678899049758911
27,0.9740415215492249,0.0910743847489357,0.9772270321846008,0.9711129069328308,0.9770641922950745,0.09385320544242859,0.9769585132598877,0.9724770784378052
28,0.9764376878738403,0.08788121491670609,0.9784672856330872,0.9739084243774414,0.9816513657569885,0.0850536972284317,0.981566846370697,0.9770641922950745
29,0.9760383367538452,0.08422395586967468,0.9788458943367004,0.9732428193092346,0.9816513657569885,0.07865095883607864,0.9861111044883728,0.9770641922950745
30,0.9764376878738403,0.08287759125232697,0.9787347912788391,0.9741746783256531,0.9816513657569885,0.07394857704639435,0.9861751198768616,0.9816513657569885
31,0.9775026440620422,0.07661274820566177,0.9794145226478577,0.9753727316856384,0.9816513657569885,0.06900597363710403,0.9861751198768616,0.9816513657569885
32,0.9818956255912781,0.0701352134346962,0.9831730723381042,0.9800319671630859,0.9816513657569885,0.06685835123062134,0.9861751198768616,0.9816513657569885
33,0.9805644154548645,0.07011649757623672,0.98183274269104,0.9784345030784607,0.9816513657569885,0.06584460288286209,0.9861751198768616,0.9816513657569885
34,0.981496274471283,0.0658745989203453,0.9832954406738281,0.9794994592666626,0.9862385392189026,0.06087974086403847,0.9907833933830261,0.9862385392189026
35,0.9836261868476868,0.062313392758369446,0.9859550595283508,0.9812300205230713,0.9908257126808167,0.05894952267408371,0.9907833933830261,0.9862385392189026
